	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
100001987	3.5054	4.6969	0.8481	1.2303	0.0204	0.0204	2.0715	1.8473	0.5944	0.6297	3.6663	2.1376	0.1899	0.1894	0.8616	0.6071	3.6956	1.4069999999999998	7.9712	2.6956	0.461	0.4088	1.4173	1.0815	2.9211	2.2678	1.2218	1.0603	0.4631	0.4772	0.0387	0.0204	0.268	0.3007	0.9744	0.7858	0.0654	0.1228	8.1843	10.0227	4.0628	4.2463	0.0437	0.06	0.1298	0.0782	0.0888	0.0204	1.0	0.1566	8.5838	4.9536	11.588	10.3386	4.7145	5.6585	1.2465	1.1259	2.0463	1.5546	0.1446	0.2949	3.216	3.7757	9.6763	8.9229	2.2515	2.1748	0.8724	1.101	6.6943	6.0587	0.7328	0.7483	0.0204	0.0788	0.1559	0.1795	1.9531	1.8364	0.0204	0.0204	0.0679	0.188	0.1891	0.1076	3.0798	4.5012	0.3016	0.3667	0.6772	0.5803	0.0945	0.2802	0.0204	0.0204	0.0204	0.0204	6.6175	6.8091	1.5136	1.9596	2.779	1.1999	0.598	0.7205	1.3176	0.7594	1.8949	2.1626	0.0224	0.0204	1.025	0.8683	0.6609999999999999	1.6896	8.0784	3.8692	2.2483	2.1523	0.3547	0.4801	0.0204	0.0204	3.3717	4.0652	6.416	6.3534
100001806	4.5701	1.0479	0.3972	0.9482	0.1024	0.1024	0.1194	0.4831	1.5339	0.1024	0.1307	0.1362	0.7709999999999999	1.1354	2.6962	3.5346	0.2735	2.1479	8.4127	9.2775	0.1262	0.1432	0.2376	0.2405	2.4241	0.1024	0.5832	0.8069	0.13	0.1902	1.0	0.6322	3.4534	3.1064	1.2452	1.9647	0.4496	0.2928	1.1672	2.2627	0.3639	0.3334	0.5865	0.4534	1.2312	0.3869	2.5656	0.5581	1.7079	0.1024	9.2042	0.5955	13.8681	18.7394	0.1024	0.1347	0.5744	0.5134	0.2527	0.9169	2.6939	1.1075	1.5418	0.2556	0.1024	0.1024	3.5062	2.4829	0.1108	0.1514	0.5925	0.1024	1.9156	2.1152	1.5341	0.1024	0.43	0.1784	0.1024	0.1024	0.5625	0.1159	0.953	1.5097	0.6914	1.625	0.1024	0.1024	0.1024	0.2627	1.5174	3.3657	0.1024	0.1024	0.6258	1.9168	0.2439	0.1024	0.1441	0.1024	0.1024	2.7728	2.0537	1.4766	2.0403	10.0159	0.3914	0.4078	5.8161	2.4045	5.4722	8.943999999999999	0.9521	0.7866	0.2331	0.3472	1.6057	2.5199	0.5035	1.2453	1.3567	0.1024	0.8036	1.1321	1.3548	1.9726	0.7833	2.4571
100020536	12.4532	3.1471	1.1658	0.2068	0.8563	3.1486	0.5543	0.4368	4.1129	0.1303	0.0198	0.0418	0.8271	2.1187	3.593	6.5264	0.2199	0.2706	4.5045	7.202999999999999	0.6329	0.2584	1.8737	4.0329	4.7729	0.612	0.8812	0.5188	0.9031	0.7054	3.2546	2.526	6.7498	6.0887	1.8833	3.4688	0.8694	0.2738	1.7853	3.1056	0.14800000000000002	0.3885	1.203	0.5534	1.2418	4.0753	3.5727	2.8248	3.2008	0.6181	1.2112	1.3898	5.975	7.6732	0.7943	0.086	1.8814	1.4988	0.5948	2.8477	2.1594	1.9477	0.9636	0.5774	0.0663	0.1831	3.5898	6.6721	0.7378	0.5712	0.6474	0.1331	3.8003	2.8019	2.6577	0.5908	0.33	0.282	0.0575	0.0198	1.2295	0.0772	1.5258	2.8823	1.7843	4.5524	0.2018	0.2471	0.0745	0.1132	3.0608	4.2112	0.2969	0.1148	1.3035	3.681	0.1323	0.0458	0.5016	0.1608	0.2293	0.207	4.1429	1.5548	0.2674	0.7487	0.5558	0.6029	4.6273	1.4711	0.3307	1.2258	1.3204	1.3606	0.0384	0.0198	2.1578	0.8759999999999999	0.2115	0.3481	2.1296	0.2372	0.5259	1.1717	1.9393	1.0364	0.812	2.6002
100001757	2.4765	2.7385	0.374	1.5864	0.5442	1.9732	0.3948	15.8368	3.4462	0.1603	0.2187	0.903	9.4396	3.1037	1.0003	0.9745	2.2748	0.5887	10.1926	14.2727	2.7259	4.1655	0.2212	0.0861	0.1664	0.0527	0.7835	0.2423	1.8144	1.749	36.5165	35.4831	0.1812	0.1013	1.5092	2.2578	0.0817	0.2051	3.4979	4.3011	0.5161	0.1676	0.2272	0.3115	0.1476	0.2177	1.7293	0.3952	0.9172	2.861	14.0889	20.9882	0.0527	0.0527	7.2777	22.5927	5.0254	0.2873	1.0503	0.7494	0.0527	1.0801	0.1071	0.8691	1.9049	11.2405	8.1246	3.252	1.5716	2.0806	11.1659	11.4323	0.9962	1.0488	0.3671	1.1602	0.262	0.268	4.9284	4.6493	0.5556	0.8118	0.1935	0.9688	0.2656	1.034	0.59	8.2108	20.4161	16.4651	0.2328	4.7926	1.4763	1.5903	0.10800000000000001	0.1654	0.6655	2.1638	0.16399999999999998	0.535	4.204	3.6855	8.6726	0.2891	1.1695	0.2969	1.6574	0.9997	1.1822	0.1526	1.7616	0.5749	0.3025	0.9199	0.1925	0.0527	0.0527	1.0945	0.8213	1.0251	0.6568	1.4493	31.151999999999997	1.453	3.4356	0.2186	0.2581	0.5076
100001988	3.9696	7.3839	0.2997	0.3749	0.4118	0.4068	2.0338	4.1038	0.4815	0.486	5.1221	2.7479	0.5824	0.9906	0.7227	0.5108	1.9888	0.5802	2.7801	1.4369	1.1174	0.9268	1.2175	1.2987	3.7113	2.8694	80.0662	84.9145	1.5279	1.6216	0.5515	0.3359	2.1279	3.1486	3.0848	18.3805	0.0647	0.2565	2.2004	2.0939	0.8579	0.9301	0.3353	0.3808	0.4821	0.3404	0.7182	0.1733	0.4044	0.2971	0.8976	1.8318	3.3222	2.5610000000000004	1.1768	1.6064	0.3899	0.9823	1.8815	2.0484	0.2997	0.6048	1.7337	2.2221	4.6501	6.1252	0.5806	0.5018	59.1146	1.5945	2.3278	3.2068	0.536	0.6682	0.0647	0.3237	0.7016	0.8052	0.965	1.6701	0.0864	0.0713	0.5425	0.8437	0.1983	0.16399999999999998	1.2323	1.6107	0.5927	0.544	0.8283	0.6095	0.2013	0.4404	0.1006	0.0647	0.0647	0.0647	2.8116	2.2433	1.199	1.3379	1.2249	0.7702	1.4929	1.8203	1.3699	0.7804	2.2325	3.8421	0.0647	0.2879	5.1957	22.2472	1.6325	17.6174	4.4986	2.4512	4.0662	7.1057	1.0948	1.4061	0.2175	0.3648	0.6757	0.9418	7.8909	8.6703
100001121	0.9433	1.0601	1.8014	2.3848	2.6219	1.2213	0.4895	0.7728	2.3434	1.0892	1.5128	5.8734	0.9269	0.5665	10.5354	5.5698	1.6775	1.0348	0.6559	0.4956	0.8772	0.8648	1.119	1.4203	1.9579	2.1919999999999997	1.5266	0.7098	0.4502	0.4339	11.9341	3.531	2.0875	4.1499	0.3411	0.4134	3.7148	1.3982	0.9003	0.619	0.4342	4.122	4.3987	4.367	2.1266	1.45	50.4951	2.9458	10.3585	1.5033	0.6308	0.5615	1.8473	0.7583	4.3372	4.2971	10.3204	9.3612	1.2256	0.3837	6.3084	4.6352	1.2436	1.7154	5.5005	5.2203	1.2279	73.7074	0.6581	1.2307	0.07	0.0362	0.2667	0.5867	0.762	0.9069	2.1525	1.6947	0.9652	0.6846	6.6307	4.4623	0.2114	0.5134	1.1967	1.4516	0.7112	2.0121	0.6894	57.9045	0.4739	0.272	0.5342	0.3907	3.5955	11.935	1.0312	0.6007	1.1915	0.8303	0.3448	0.4188	0.4973	0.4464	0.583	0.7933	0.7909	1.0779	0.5285	0.5241	2.2689	1.2872	1.0523	0.9688	0.4683	0.3236	0.8863	1.0731	0.2512	0.3477	1.74	2.9355	0.2219	1.206	0.7171	1.1318	0.3823	0.4719
100021374	0.20199999999999999	0.7339	4.1203	6.3974	2.025	3.4696	0.1214	0.1096	1.3	1.2634	0.0456	0.0456	1.9741	2.1812	0.6819	4.89	0.0456	3.0934	0.1699	0.5553	2.0602	2.336	3.1201	2.6693	3.1741	3.1602	0.4053	0.5361	0.59	0.7801	0.5861	1.8846	1.4017	0.4648	0.7609	1.1683	3.6011	1.4619	1.3743	0.3542	0.6415	0.2314	1.8964	8.4917	0.8294	0.4313	0.1624	0.0456	0.5912	0.6988	0.3279	0.1233	1.432	0.3687	1.0716	0.4393	0.2464	0.22399999999999998	1.0775	2.3129	0.9682	0.8933	0.5357	1.4395	1.1583	1.528	0.5995	0.0456	0.8793	0.8883	1.8184	0.8909	0.2159	0.154	3.9688	3.0302	1.2059	5.9479	0.0949	0.1127	0.2156	0.5753	0.1061	0.7559	0.6769	0.4168	1.4382	0.4074	0.3224	0.9928	2.1112	0.5239	0.7688	1.0072	1.8122	1.2605	0.2034	0.0456	0.3278	1.278	0.2703	0.1486	0.7001	1.0243	0.8958	4.3746	1.9926	2.4616	0.4359	0.2583	0.0456	0.0456	1.6099	1.151	2.8923	0.1967	0.3274	0.0456	0.494	1.1415	1.7642	0.8824	0.3517	0.6809	1.6853	2.3039	1.4134	0.9223
100000010	0.2248	0.1932	3.0439999999999996	4.4368	1.9503	3.0221	0.7981	0.4524	1.6461	1.5382	0.07	0.2437	5.5144	4.7941	0.1668	0.2533	0.0853	0.07	0.07	0.07	0.9147	2.5664	1.9836	3.8252	1.0328	0.6039	2.8141	0.8407	0.35600000000000004	1.0	0.8573	0.5032	1.3513	3.7959	1.5737	6.9137	0.1132	0.1286	2.0948	0.9905	0.3625	0.3777	0.4684	0.1296	0.0942	0.1343	0.2978	0.3041	0.4285	1.0909	0.6639	0.7959	3.1456	3.5295	2.6348	2.5338	0.341	0.5015	2.0235	2.0491	3.0121	3.966	1.6055	1.6627	0.8765	2.09	1.7093	0.07	0.1924	0.1273	0.2098	0.2044	0.07	0.6072	2.0774	2.8054	0.2875	0.2317	0.1594	0.2798	0.7973	1.0095	1.278	2.5757	2.7484	5.5037	1.0864	1.432	0.7120000000000001	1.1585	1.9019	4.6126	0.07	0.3342	1.8835	0.1189	0.1883	0.1492	0.0991	0.4894	0.7235	0.7938	1.9467	1.0022	0.6534	0.915	3.5397	2.2255	0.1442	1.5354	0.1909	0.07	2.5439	1.8386	0.2205	0.1571	1.9451	0.249	0.14300000000000002	0.2553	4.4676	3.0067	1.4677	1.7327	2.4603	0.4932	1.8011	1.6538
100001950	1.4351	1.9894	1.1192	1.3717	0.6866	1.0048	0.9098	1.0893	0.5406	1.0948	0.9034	1.1249	0.4979	1.0123	0.6589	1.0445	1.8817	2.0980000000000003	1.7895	1.3114	1.2293	0.7629	0.7419	1.0175	0.831	1.7701	0.6297	0.8038	0.7809	0.9672	0.9444	0.8746	1.2726	0.9006	1.1296	1.3723	2.3434	1.8297	1.9309	1.4681	0.992	0.9464	1.7221	1.9526	1.0523	0.7055	0.4807	0.805	1.6937	1.0017	1.0447	0.6377	1.0615	0.5815	1.4767	2.0769	1.3737	0.7581	0.7557	0.6546	2.3782	2.2245	0.8832	1.1147	0.7739	1.3626	1.0552	1.1095	0.2306	0.6526	1.5142	1.3854	1.7557	1.2094	0.8766	0.7481	0.9104	1.6038	1.0158	0.9865	3.5326	2.4244	1.1523	0.5711	0.5531	0.7225	0.7447	1.1049	0.9005	0.4687	0.8675	0.5046	0.6273	0.6356	1.3361	0.9328	0.8641	1.0702	0.6695	0.9511	1.074	1.002	1.361	1.1676	1.7434	2.5956	0.8949	0.9545	0.8227	0.8966	0.3398	0.3933	0.9952	1.7692	0.9983	1.1358	0.33799999999999997	1.1697	0.5412	0.3856	0.3946	0.8591	1.1368	1.2237	1.0521	2.4642	0.6533	0.5957
100006098	5.1538	1.6184	0.0406	0.0734	1.0403	2.8294	0.0437	0.11	3.8535	0.0911	0.0134	0.0141	2.6863	2.9246	5.2799	5.3959	0.0832	0.0911	1.7354	2.9476	1.2494	0.0781	1.8061	2.9832	4.6693	0.2058	0.3399	0.0498	0.0484	0.1471	2.5385	1.946	3.1144	4.6088	2.4491	2.6655	0.47200000000000003	0.0727	1.1939	3.4537	0.09	0.0329	1.2616	0.8436	0.8013	3.4151	4.4358	1.7099	3.0574	0.128	0.9315	0.9597	4.4989	5.8801	0.0675	0.0667	1.7281	2.4935	0.4408	2.2929	1.6271	1.7957	1.6772	0.1758	0.0694	0.1696	3.0911	2.7164	0.0736	0.0315	1.4901	0.0839	2.5072	3.0810000000000004	1.4941	0.3639	0.0897	0.0529	0.0089	0.0266	1.588	0.0356	2.6022	4.6113	1.0574	4.1269	0.0431	0.0666	0.0157	0.0355	1.7618	4.3204	0.0246	0.0214	1.6357	3.9327	0.0123	0.0122	0.9597	0.0356	0.1299	0.1273	4.8942	2.3861	0.0784	0.0978	0.3655	0.3331	2.7639	1.1968	0.2282	0.3249	0.4667	1.4446	0.0197	0.0089	1.8048	0.6667	0.0655	0.1218	3.4189	0.2217	1.0	1.5864	2.3021	1.8747	0.9016	2.5381
