	ST-00010415_t1	ST-00010415_t2	ST-00010421_t1	ST-00010421_t2	ST-00011458_t1	ST-00011458_t2	ST-00044073_t1	ST-00044073_t2	ST-00044885_t1	ST-00044885_t2	ST-00045433_t1	ST-00045433_t2	ST-00057286_t1	ST-00057286_t2	ST-00057532_t1	ST-00057532_t2	ST-00060623_t1	ST-00060623_t2	ST-00062958_t1	ST-00062958_t2	ST-00075023_t1	ST-00075023_t2	ST-00128432_t1	ST-00128432_t2	ST-00177454_t1	ST-00177454_t2	ST-00242187_t1	ST-00242187_t2	ST-00286016_t1	ST-00286016_t2	ST-00286572_t1	ST-00286572_t2	ST-00287578_t1	ST-00287578_t2	ST-00295414_t1	ST-00295414_t2	ST-00319255_t1	ST-00319255_t2	ST-00320227_t1	ST-00320227_t2	ST-00339988_t1	ST-00339988_t2	ST-00360236_t1	ST-00360236_t2	ST-00418342_t1	ST-00418342_t2	ST-00423444_t1	ST-00423444_t2	ST-00466055_t1	ST-00466055_t2	ST-00505289_t1	ST-00505289_t2	ST-00525539_t1	ST-00525539_t2	ST-00531850_t1	ST-00531850_t2	ST-00550067_t1	ST-00550067_t2	ST-00596988_t1	ST-00596988_t2	ST-00597582_t1	ST-00597582_t2	ST-00606222_t1	ST-00606222_t2	ST-00611296_t1	ST-00611296_t2	ST-00616972_t1	ST-00616972_t2	ST-00622319_t1	ST-00622319_t2	ST-00624870_t1	ST-00624870_t2	ST-00630737_t1	ST-00630737_t2	ST-00631493_t1	ST-00631493_t2	ST-00632345_t1	ST-00632345_t2	ST-00634998_t1	ST-00634998_t2	ST-00641613_t1	ST-00641613_t2	ST-00648002_t1	ST-00648002_t2	ST-00651926_t1	ST-00651926_t2	ST-00652037_t1	ST-00652037_t2	ST-00653378_t1	ST-00653378_t2	ST-00656708_t1	ST-00656708_t2	ST-00659767_t1	ST-00659767_t2	ST-00660767_t1	ST-00660767_t2	ST-00685031_t1	ST-00685031_t2	ST-00705243_t1	ST-00705243_t2	ST-00705245_t1	ST-00705245_t2	ST-00708220_t1	ST-00708220_t2	ST-00709819_t1	ST-00709819_t2	ST-00711931_t1	ST-00711931_t2	ST-00714687_t1	ST-00714687_t2	ST-00718962_t1	ST-00718962_t2	ST-00723045_t1	ST-00723045_t2	ST-00730777_t1	ST-00730777_t2	ST-00731125_t1	ST-00731125_t2	ST-00731336_t1	ST-00731336_t2	ST-00731705_t1	ST-00731705_t2	ST-00732959_t1	ST-00732959_t2	ST-00739471_t1	ST-00739471_t2	ST-00745902_t1	ST-00745902_t2
DAS28	l	l	l	l	l	l	l	m	l	l	m	m	l	l	l	m	l	l	l	l	m	m	l	l	m	l	h	m	l	l	l	l	l	l	l	l	l	l	m	m	m	l	m	l	m	l	h	h	m	h	l	l	l	l	l	l	l	h	m	m	l	l	l	m	l	l	l	m	l	l	l	l	l	m	m	m	h	l	l	m	l	l	l	l	m	l	m	m	m	m	m	m	m	m	m	l	m	l	l	l	h	h	l	l	l	l	l	h	m	m	m	m	l	l	m	m	l	m	h	h	l	m	l	l	l	l	l	l
100000257	1.5674	1.8382	0.8284	0.7866	1.1446	0.9489	1.3206	1.9863	1.0318	0.8404	0.9790000000000001	0.9148	0.9563	0.7273	1.2137	1.7009	1.0817	1.4051	0.9944	1.3295	0.7182	0.7203	0.64	0.6648	1.4278	1.2107	0.9831	3.7389	1.0542	1.0056	0.6909	0.769	1.1026	1.196	0.726	0.7409	1.5816	1.4161	0.9158	0.8349	2.4329	2.4419	0.8074	0.9235	1.2537	1.2244	2.8022	2.5481	1.1809	1.6955	1.5779	0.8286	1.3478	1.3566	0.5634	0.6075	3.3789999999999996	2.5682	0.8179	0.6907	0.9274	1.0322	0.7363	0.625	1.0221	1.2119	1.4668	1.5792	0.9272	1.2374	0.703	0.55	1.1624	1.1697	1.4794	1.1997	1.4288	0.7038	0.5266	0.5629	0.9305	0.8393	0.9446	1.2642	0.6457	0.8011	1.0169	1.0469	0.9682	0.8425	0.8726	0.9134	1.6121	1.5601	1.6976	1.7758	1.6626	1.5785	0.8179	0.8159	1.3695	0.701	0.9709	0.9252	0.6474	0.6092	0.648	1.0526	0.929	0.7985	6.1281	3.8848	0.6014	0.7235	1.5981	0.5245	0.5419	0.5822	1.9211	0.5332	0.7314	0.5741	1.4752	1.38	1.2404	1.2148	0.8474	1.1452
100001987	3.5054	4.6969	0.8481	1.2303	0.0204	0.0204	2.0715	1.8473	0.5944	0.6297	3.6663	2.1376	0.1899	0.1894	0.8616	0.6071	3.6956	1.4069999999999998	7.9712	2.6956	0.461	0.4088	1.4173	1.0815	2.9211	2.2678	1.2218	1.0603	0.4631	0.4772	0.0387	0.0204	0.268	0.3007	0.9744	0.7858	0.0654	0.1228	8.1843	10.0227	4.0628	4.2463	0.0437	0.06	0.1298	0.0782	0.0888	0.0204	1.0	0.1566	8.5838	4.9536	11.588	10.3386	4.7145	5.6585	1.2465	1.1259	2.0463	1.5546	0.1446	0.2949	3.216	3.7757	9.6763	8.9229	2.2515	2.1748	0.8724	1.101	6.6943	6.0587	0.7328	0.7483	0.0204	0.0788	0.1559	0.1795	1.9531	1.8364	0.0204	0.0204	0.0679	0.188	0.1891	0.1076	3.0798	4.5012	0.3016	0.3667	0.6772	0.5803	0.0945	0.2802	0.0204	0.0204	0.0204	0.0204	6.6175	6.8091	1.5136	1.9596	2.779	1.1999	0.598	0.7205	1.3176	0.7594	1.8949	2.1626	0.0224	0.0204	1.025	0.8683	0.6609999999999999	1.6896	8.0784	3.8692	2.2483	2.1523	0.3547	0.4801	0.0204	0.0204	3.3717	4.0652	6.416	6.3534
100006438	6.8041	2.3653	0.2249	0.2257	1.0083	1.0188	0.5762	0.5668	12.6148	0.368	0.0622	0.0532	3.5873	7.1683	9.0063	1.8833	0.1257	0.1695	3.0803	3.0333	0.4438	0.1508	0.5907	0.273	13.3719	1.3674	0.7797	0.1582	0.1488	0.1468	1.6051	0.4475	3.4481	4.8969	4.3205	2.7138	0.7688	0.2337	2.2224	11.1695	0.213	0.5783	1.4668	1.0128	1.1287	3.8404	4.5792	1.9516	5.9244	0.5998	0.8159	0.6318	2.8519	3.9869	0.0839	0.2517	0.9039	1.4296	0.4287	1.8097	2.0586	2.4144	2.6784	0.0854	0.0904	0.1108	3.7192	3.0412	0.1518	0.115	1.0	0.371	1.7995	2.489	3.2598	0.612	0.2152	0.0661	0.0742	0.0737	1.1637	0.0657	3.06	4.7468	0.9373	2.9257	0.1668	0.3642	0.1337	0.2068	3.888	9.3478	0.3295	0.3902	1.6501	2.4099	0.1284	0.0557	0.8022	0.1774	0.0974	0.3775	8.0638	4.7860000000000005	0.1531	0.1457	0.4684	0.1937	2.359	1.5486	0.3262	0.6326	1.3133	2.6708	0.0731	0.0532	6.1801	2.6919	0.1488	0.1681	8.0788	0.3837	2.2611	1.8733	2.3144	2.5334	2.8068	2.1208
100001806	4.5701	1.0479	0.3972	0.9482	0.1024	0.1024	0.1194	0.4831	1.5339	0.1024	0.1307	0.1362	0.7709999999999999	1.1354	2.6962	3.5346	0.2735	2.1479	8.4127	9.2775	0.1262	0.1432	0.2376	0.2405	2.4241	0.1024	0.5832	0.8069	0.13	0.1902	1.0	0.6322	3.4534	3.1064	1.2452	1.9647	0.4496	0.2928	1.1672	2.2627	0.3639	0.3334	0.5865	0.4534	1.2312	0.3869	2.5656	0.5581	1.7079	0.1024	9.2042	0.5955	13.8681	18.7394	0.1024	0.1347	0.5744	0.5134	0.2527	0.9169	2.6939	1.1075	1.5418	0.2556	0.1024	0.1024	3.5062	2.4829	0.1108	0.1514	0.5925	0.1024	1.9156	2.1152	1.5341	0.1024	0.43	0.1784	0.1024	0.1024	0.5625	0.1159	0.953	1.5097	0.6914	1.625	0.1024	0.1024	0.1024	0.2627	1.5174	3.3657	0.1024	0.1024	0.6258	1.9168	0.2439	0.1024	0.1441	0.1024	0.1024	2.7728	2.0537	1.4766	2.0403	10.0159	0.3914	0.4078	5.8161	2.4045	5.4722	8.943999999999999	0.9521	0.7866	0.2331	0.3472	1.6057	2.5199	0.5035	1.2453	1.3567	0.1024	0.8036	1.1321	1.3548	1.9726	0.7833	2.4571
100004208	4.0486	2.2747	0.5716	0.7817	1.0082	1.3832	1.1651	1.9647	1.5567	0.2222	0.9857	0.1766	1.1713	1.89	2.3742	4.1532	1.4880000000000002	1.2628	1.9788	2.2692	0.3515	0.2512	2.3027	2.5552	3.0017	0.8683	0.6535	0.3839	0.2668	0.9993	1.2357	1.0007	2.4236	3.0193	1.9453	1.6926	1.6769	0.6712	1.551	1.5564	0.3047	0.2309	0.8375	0.6456	0.6962	1.0304	2.2765	1.1388	2.2614	0.8833	1.0303	1.1758	7.0478	8.7869	0.5345	0.3521	0.9918	1.1315	0.5796	1.7118	1.1179999999999999	1.3237	0.6603	0.4065	0.6298	0.8921	4.6531	2.5986	0.7012	0.7674	0.547	0.2034	0.8676	0.7512	1.6629	1.7206	0.6462	0.3454	0.08199999999999999	0.1769	1.2381	0.6077	1.1843	1.4287	0.5405	1.609	0.3358	0.3139	0.1465	0.1454	2.3898	2.1089	0.9279999999999999	0.639	1.1926	2.9538	0.2155	0.2126	0.5132	0.4088	0.2121	0.2888	3.0825	1.6001	0.6969	1.3833	1.4247	1.5411	1.6271	1.0485	0.8997	1.3879	0.6131	0.5752	0.4189	0.0291	0.7015	0.5996	0.429	0.3599	1.0151	0.2941	0.7794	0.9943	5.5565	0.9935	0.5233	1.4461
100020492	1.0561	2.0524	0.3816	0.733	0.5203	0.2362	1.2333	1.2148	0.4763	1.1211	0.1009	0.5953	1.8253	0.2854	2.2099	2.6519999999999997	2.2151	2.0525	0.2388	0.9526	0.3863	0.2254	0.2331	0.1802	2.8311	1.278	0.8896	1.109	0.083	0.1357	4.4868	11.7244	0.4855	0.0578	0.4786	0.5941	3.3574	1.5053	3.0851	1.0839	2.3892	3.1256	0.6272	0.5505	1.2022	2.1298	0.5304	1.0301	1.2736	1.3072	2.9136	2.7344	0.0578	0.0578	0.3369	1.1206	0.7611	0.3117	0.9309	0.7377	0.4398	0.0578	1.2756	0.5351	0.6883	1.2427	7.6129999999999995	1.8646	1.0253	2.1773	2.3177	0.8867	1.1429	0.0578	0.2069	0.5928	0.6486	0.4164	0.4401	0.8338	0.4402	0.9747	0.6491	1.2698	1.3273	0.6318	1.6844	1.6883	0.5677	0.2042	0.9484	1.5742	2.7636	1.5275	0.1137	1.0	0.2756	0.2475	2.4512	1.8914	1.6268	0.8827	1.6585	1.6048	1.5235	2.052	1.1169	1.4617	1.3064	0.3008	0.9975	1.0294	0.0578	0.08900000000000001	0.523	0.0687	0.0578	0.0578	0.701	0.1846	0.218	0.2642	2.6184	1.4931	0.89	2.0121	0.2031	0.2663
100008933	0.7507	1.4923	1.2363	0.8778	0.7644	1.6678	0.4203	0.8635	0.517	0.7115	0.9605	0.4203	0.6815	0.6432	1.7225	1.2233	0.4203	0.8874	0.4203	0.7298	0.9904	0.9898	1.1801	0.9619	0.5770000000000001	0.5184	1.4080000000000001	1.0217	0.6314	1.7138	0.8615	0.6759	0.7682	0.7675	1.5219999999999998	1.0008	0.4772	0.6426	0.7435	0.8436	0.6977	0.6662	0.8652	0.8819	0.5665	0.7691	1.6842	1.153	0.7908	2.6881	1.3482	1.685	0.5326	1.1351	1.0	1.4857	0.9184	1.536	1.1166	1.5168	0.9363	1.3405	0.7698	0.7992	1.1822	0.5225	0.8578	0.8996	0.4203	0.7119	1.2464	1.2833	1.4831	6.9667	1.1051	1.3004	1.038	0.8929	0.8485	1.1176	1.1365	0.8632	4.2981	0.4203	0.794	1.0671	1.7771	1.9258	1.504	1.2321	0.4203	0.9952	0.7449	1.1671	1.5798	0.9352	0.7437	0.8143	0.8963	0.4203	1.4319	1.4977	0.7874	0.9875	1.7249	1.3155	0.6194	0.9992	1.0644	0.9782	0.5457	1.0290000000000001	0.8529	0.9916	1.0228	2.3549	1.31	1.2285	1.2949	1.2026	0.6826	1.62	1.4093	1.252	1.0916	1.3164	0.4514	1.0381
100020536	12.4532	3.1471	1.1658	0.2068	0.8563	3.1486	0.5543	0.4368	4.1129	0.1303	0.0198	0.0418	0.8271	2.1187	3.593	6.5264	0.2199	0.2706	4.5045	7.202999999999999	0.6329	0.2584	1.8737	4.0329	4.7729	0.612	0.8812	0.5188	0.9031	0.7054	3.2546	2.526	6.7498	6.0887	1.8833	3.4688	0.8694	0.2738	1.7853	3.1056	0.14800000000000002	0.3885	1.203	0.5534	1.2418	4.0753	3.5727	2.8248	3.2008	0.6181	1.2112	1.3898	5.975	7.6732	0.7943	0.086	1.8814	1.4988	0.5948	2.8477	2.1594	1.9477	0.9636	0.5774	0.0663	0.1831	3.5898	6.6721	0.7378	0.5712	0.6474	0.1331	3.8003	2.8019	2.6577	0.5908	0.33	0.282	0.0575	0.0198	1.2295	0.0772	1.5258	2.8823	1.7843	4.5524	0.2018	0.2471	0.0745	0.1132	3.0608	4.2112	0.2969	0.1148	1.3035	3.681	0.1323	0.0458	0.5016	0.1608	0.2293	0.207	4.1429	1.5548	0.2674	0.7487	0.5558	0.6029	4.6273	1.4711	0.3307	1.2258	1.3204	1.3606	0.0384	0.0198	2.1578	0.8759999999999999	0.2115	0.3481	2.1296	0.2372	0.5259	1.1717	1.9393	1.0364	0.812	2.6002
798	0.4146	0.6765	0.4043	0.8728	0.4294	1.2927	1.0034	1.177	1.088	0.5769	1.4135	1.8573	1.104	0.3927	1.1781	0.9253	1.0632	0.5061	0.4708	0.3255	0.7637	0.8665	0.5592	0.8743	0.3967	0.8269	0.9579	0.9564	1.4423	1.7022	0.9977	0.6742	1.2122	1.1539	0.4772	1.1684	0.8713	0.4121	0.9966	0.6819	1.0395	1.0129	1.1111	0.7076	1.1463	0.5444	1.1666	1.7152	0.9242	1.9358	0.3255	0.7502	0.9848	0.9445	1.2061	0.7256	0.3255	0.8487	1.5314	0.6213	0.4617	1.1012	0.8408	1.2636	0.9071	0.5819	0.3255	0.7889	1.0	1.1223	0.8553	1.3213	1.0604	1.2442	1.3477	1.7239	0.7109	1.1762	0.9139	0.4759	0.741	1.9305	0.7359	1.2513	0.6522	1.1438	0.9359999999999999	2.0973	1.686	0.515	1.042	1.5509	0.3255	0.5104	1.0821	0.6798	0.3255	0.9007	1.5678	1.4791	1.2062	1.3130000000000002	0.3683	0.3255	0.8886	1.6368	0.8404	1.0394	1.3221	0.3255	0.6487	1.4086	1.3076	0.8082	1.4741	1.6159	0.9611	0.9035	1.6811	2.1884	0.5687	0.3255	1.1685	1.0019	1.0766	1.1023	0.3255	1.3264
